Date,N225.Close
7/1/2009,9939.929688
7/2/2009,9876.150391
7/3/2009,9816.070313
7/6/2009,9680.870117
7/7/2009,9647.790039
7/8/2009,9420.75
7/9/2009,9291.05957
7/10/2009,9287.280273
7/13/2009,9050.330078
7/14/2009,9261.80957
7/15/2009,9269.25
7/16/2009,9344.160156
7/17/2009,9395.320313
7/21/2009,9652.019531
7/22/2009,9723.160156
7/23/2009,9792.94043
7/24/2009,9944.549805
7/27/2009,10088.66016
7/28/2009,10087.25977
7/29/2009,10113.24023
7/30/2009,10165.20996
7/31/2009,10356.83008
8/3/2009,10352.46973
8/4/2009,10375.00977
8/5/2009,10252.53027
8/6/2009,10388.08984
8/7/2009,10412.08984
8/10/2009,10524.25977
8/11/2009,10585.45996
8/12/2009,10435
8/13/2009,10517.19043
8/14/2009,10597.33008
8/17/2009,10268.61035
8/18/2009,10284.95996
8/19/2009,10204
8/20/2009,10383.41016
8/21/2009,10238.2002
8/24/2009,10581.04981
8/25/2009,10497.36035
8/26/2009,10639.70996
8/27/2009,10473.96973
8/28/2009,10534.13965
8/31/2009,10492.53027
9/2/2009,10280.45996
9/3/2009,10214.63965
9/4/2009,10187.11035
9/7/2009,10320.94043
9/8/2009,10393.23047
9/9/2009,10312.13965
9/10/2009,10513.66992
9/11/2009,10444.33008
9/14/2009,10202.05957
9/15/2009,10217.62012
9/16/2009,10270.76953
9/17/2009,10443.79981
9/18/2009,10370.54004
9/21/2009,null
9/24/2009,10544.21973
9/25/2009,10265.98047
9/28/2009,10009.51953
9/29/2009,10100.2002
9/30/2009,10133.23047
10/1/2009,9978.639648
10/2/2009,9731.870117
10/5/2009,9674.490234
10/6/2009,9691.799805
10/7/2009,9799.599609
10/8/2009,9832.469727
10/9/2009,10016.38965
10/13/2009,10076.55957
10/14/2009,10060.20996
10/15/2009,10238.65039
10/16/2009,10257.55957
10/19/2009,10236.50977
10/20/2009,10336.83984
10/21/2009,10333.38965
10/22/2009,10267.16992
10/23/2009,10282.99023
10/26/2009,10362.62012
10/27/2009,10212.45996
10/28/2009,10075.04981
10/29/2009,9891.099609
10/30/2009,10034.74023
11/2/2009,9802.950195
11/4/2009,9844.30957
11/5/2009,9717.44043
11/6/2009,9789.349609
11/9/2009,9808.990234
11/10/2009,9870.730469
11/11/2009,9871.679688
11/12/2009,9804.490234
11/13/2009,9770.30957
11/16/2009,9791.179688
11/17/2009,9729.929688
11/18/2009,9676.799805
11/19/2009,9549.469727
11/20/2009,9497.679688
11/24/2009,9401.580078
11/25/2009,9441.639648
11/26/2009,9383.240234
11/27/2009,9081.519531
11/30/2009,9345.549805
12/1/2009,9572.200195
12/2/2009,9608.94043
12/3/2009,9977.669922
12/4/2009,10022.58984
12/7/2009,10167.59961
12/8/2009,10140.46973
12/9/2009,10004.71973
12/10/2009,9862.820313
12/11/2009,10107.87012
12/14/2009,10105.67969
12/15/2009,10083.48047
12/16/2009,10177.41016
12/17/2009,10163.79981
12/18/2009,10142.04981
12/21/2009,10183.46973
12/22/2009,10378.03027
12/24/2009,10536.91992
12/25/2009,10494.70996
12/28/2009,10634.23047
12/29/2009,10638.05957
12/30/2009,10546.44043
1/4/2010,10654.79004
1/5/2010,10681.83008
1/6/2010,10731.4502
1/7/2010,10681.66016
1/8/2010,10798.32031
1/12/2010,10879.13965
1/13/2010,10735.03027
1/14/2010,10907.67969
1/15/2010,10982.09961
1/18/2010,10855.08008
1/19/2010,10764.90039
1/20/2010,10737.51953
1/21/2010,10868.41016
1/22/2010,10590.54981
1/25/2010,10512.69043
1/26/2010,10325.28027
1/27/2010,10252.08008
1/28/2010,10414.29004
1/29/2010,10198.04004
2/1/2010,10205.01953
2/2/2010,10371.08984
2/3/2010,10404.33008
2/4/2010,10355.98047
2/5/2010,10057.08984
2/8/2010,9951.820313
2/9/2010,9932.900391
2/10/2010,9963.990234
2/12/2010,10092.19043
2/15/2010,10013.29981
2/16/2010,10034.25
2/17/2010,10306.83008
2/18/2010,10335.69043
2/19/2010,10123.58008
2/22/2010,10400.46973
2/23/2010,10352.09961
2/24/2010,10198.83008
2/25/2010,10101.95996
2/26/2010,10126.03027
3/1/2010,10172.05957
3/2/2010,10221.83984
3/3/2010,10253.13965
3/4/2010,10145.71973
3/5/2010,10368.95996
3/8/2010,10585.91992
3/9/2010,10567.65039
3/10/2010,10563.91992
3/11/2010,10664.9502
3/12/2010,10751.25977
3/15/2010,10751.98047
3/16/2010,10721.70996
3/17/2010,10846.98047
3/18/2010,10744.03027
3/19/2010,10824.71973
3/23/2010,10774.15039
3/24/2010,10815.03027
3/25/2010,10828.84961
3/26/2010,10996.37012
3/29/2010,10986.46973
3/30/2010,11097.13965
3/31/2010,11089.94043
4/1/2010,11244.40039
4/2/2010,11286.08984
4/5/2010,11339.29981
4/6/2010,11282.32031
4/7/2010,11292.83008
4/8/2010,11168.2002
4/9/2010,11204.33984
4/12/2010,11251.90039
4/13/2010,11161.23047
4/14/2010,11204.90039
4/15/2010,11273.79004
4/16/2010,11102.17969
4/19/2010,10908.76953
4/20/2010,10900.67969
4/21/2010,11090.04981
4/22/2010,10949.08984
4/23/2010,10914.45996
4/26/2010,11165.79004
4/27/2010,11212.66016
4/28/2010,10924.79004
4/30/2010,11057.40039
5/6/2010,10695.69043
5/7/2010,10364.58984
5/10/2010,10530.7002
5/11/2010,10411.09961
5/12/2010,10394.03027
5/13/2010,10620.54981
5/14/2010,10462.50977
5/17/2010,10235.75977
5/18/2010,10242.63965
5/19/2010,10186.83984
5/20/2010,10030.30957
5/21/2010,9784.540039
5/24/2010,9758.400391
5/25/2010,9459.889648
5/26/2010,9522.660156
5/27/2010,9639.719727
5/28/2010,9762.980469
5/31/2010,9768.700195
6/1/2010,9711.830078
6/2/2010,9603.240234
6/3/2010,9914.19043
6/4/2010,9901.19043
6/7/2010,9520.799805
6/8/2010,9537.94043
6/9/2010,9439.129883
6/10/2010,9542.650391
6/11/2010,9705.25
6/14/2010,9879.849609
6/15/2010,9887.889648
6/16/2010,10067.15039
6/17/2010,9999.400391
6/18/2010,9995.019531
6/21/2010,10238.00977
6/22/2010,10112.88965
6/23/2010,9923.700195
6/24/2010,9928.339844
6/25/2010,9737.480469
6/28/2010,9693.94043
6/29/2010,9570.669922
6/30/2010,9382.639648
7/1/2010,9191.599609
7/2/2010,9203.709961
7/5/2010,9266.780273
7/6/2010,9338.040039
7/7/2010,9279.650391
7/8/2010,9535.740234
7/9/2010,9585.320313
7/12/2010,9548.110352
7/13/2010,9537.230469
7/14/2010,9795.240234
7/15/2010,9685.530273
7/16/2010,9408.360352
7/21/2010,9278.830078
7/22/2010,9220.879883
7/23/2010,9430.959961
7/26/2010,9503.660156
7/27/2010,9496.849609
7/28/2010,9753.269531
7/29/2010,9696.019531
7/30/2010,9537.299805
8/2/2010,9570.30957
8/3/2010,9694.009766
8/4/2010,9489.339844
8/5/2010,9653.919922
8/6/2010,9642.120117
8/9/2010,9572.490234
8/10/2010,9551.049805
8/11/2010,9292.849609
8/12/2010,9212.589844
8/13/2010,9253.459961
8/16/2010,9196.669922
8/17/2010,9161.679688
8/18/2010,9240.540039
8/19/2010,9362.679688
8/20/2010,9179.379883
8/23/2010,9116.69043
8/24/2010,8995.139648
8/25/2010,8845.389648
8/26/2010,8906.480469
8/27/2010,8991.05957
8/30/2010,9149.259766
8/31/2010,8824.05957
9/1/2010,8927.019531
9/2/2010,9062.839844
9/3/2010,9114.129883
9/6/2010,9301.320313
9/7/2010,9226
9/8/2010,9024.599609
9/9/2010,9098.389648
9/10/2010,9239.169922
9/13/2010,9321.820313
9/14/2010,9299.30957
9/16/2010,9509.5
9/17/2010,9626.089844
9/21/2010,9602.110352
9/22/2010,9566.320313
9/24/2010,9471.669922
9/27/2010,9603.139648
9/28/2010,9495.759766
9/29/2010,9559.379883
9/30/2010,9369.349609
10/1/2010,9404.230469
10/4/2010,9381.05957
10/5/2010,9518.759766
10/6/2010,9691.429688
10/7/2010,9684.80957
10/8/2010,9588.879883
10/12/2010,9388.639648
10/13/2010,9403.509766
10/14/2010,9583.509766
10/15/2010,9500.25
10/18/2010,9498.490234
10/19/2010,9539.450195
10/20/2010,9381.599609
10/21/2010,9376.480469
10/22/2010,9426.709961
10/25/2010,9401.160156
10/26/2010,9377.379883
10/27/2010,9387.030273
10/28/2010,9366.030273
10/29/2010,9202.450195
11/1/2010,9154.719727
11/2/2010,9159.980469
11/4/2010,9358.780273
11/5/2010,9625.990234
11/8/2010,9732.919922
11/9/2010,9694.490234
11/10/2010,9830.519531
11/11/2010,9861.459961
11/12/2010,9724.80957
11/15/2010,9827.509766
11/16/2010,9797.099609
11/17/2010,9811.660156
11/18/2010,10013.62988
11/19/2010,10022.38965
11/22/2010,10115.19043
11/24/2010,10030.11035
11/25/2010,10079.75977
11/26/2010,10039.55957
11/29/2010,10125.99023
11/30/2010,9937.040039
12/1/2010,9988.049805
12/2/2010,10168.51953
12/3/2010,10178.32031
12/6/2010,10167.23047
12/7/2010,10141.09961
12/8/2010,10232.33008
12/9/2010,10285.87988
12/10/2010,10211.9502
12/13/2010,10293.88965
12/14/2010,10316.76953
12/15/2010,10309.78027
12/16/2010,10311.29004
12/17/2010,10303.83008
12/20/2010,10216.41016
12/21/2010,10370.53027
12/22/2010,10346.48047
12/24/2010,10279.19043
12/27/2010,10355.99023
12/28/2010,10292.62988
12/29/2010,10344.54004
12/30/2010,10228.91992
1/4/2011,10398.09961
1/5/2011,10380.76953
1/6/2011,10529.75977
1/7/2011,10541.04004
1/11/2011,10510.67969
1/12/2011,10512.79981
1/13/2011,10589.75977
1/14/2011,10499.04004
1/17/2011,10502.86035
1/18/2011,10518.98047
1/19/2011,10557.09961
1/20/2011,10437.30957
1/21/2011,10274.51953
1/24/2011,10345.11035
1/25/2011,10464.41992
1/26/2011,10401.90039
1/27/2011,10478.66016
1/28/2011,10360.33984
1/31/2011,10237.91992
2/1/2011,10274.5
2/2/2011,10457.36035
2/3/2011,10431.36035
2/4/2011,10543.51953
2/7/2011,10592.04004
2/8/2011,10635.98047
2/9/2011,10617.83008
2/10/2011,10605.65039
2/14/2011,10725.54004
2/15/2011,10746.66992
